Date,Double/Triple Header Num,Team,Team (Long),League,Team Game Number,Home / Away,Opponent,Opponent (Long),Opponent's League,Opponent's Game Number,Team Score,Opponent's Score,Win,Loss,Tie,Win / Loss Margin,Day / Night,Park ID,Attendance,Game Length (Minutes),At Bats,Hits,Doubles,Triples,Home Runs,RBI,Sacrifice Hits,Sacrifice Flies,Hit By Pitch,Walks,Intentional Walks,Strikeouts,Stolen Bases,Caught Stealing,Grounded into Double Plays,Awarded First on Catcher's Interference,Left on Base,Pitchers Used,Individual Earned Runs,Team Earned Runs,Wild Pitches,Balks,Putouts,Assists,Errors,Passed Balls,Double Plays,Triple Plays
4/10/12,0,Cardinals,St. Louis Cardinals,National,6,Away,Reds,Cincinnati Reds,National,5,3,1,1,0,0,2,N,CIN09,17110,153,33,9,2,1,2,3,0,0,1,3,0,9,0,0,3,0,7,3,1,1,0,0,27,8,0,0,0,0
4/10/12,0,Braves,Atlanta Braves,National,5,Away,Astros,Houston Astros,National,5,6,4,1,0,0,2,N,HOU03,22036,192,38,11,1,0,2,6,0,0,0,3,0,6,1,1,0,0,8,5,4,4,0,0,27,8,0,0,1,0
4/10/12,0,Pirates,Pittsburgh Pirates,National,4,Away,Dodgers,Los Angeles Dodgers,National,5,1,2,0,1,0,-1,D,LOS03,56000,146,30,5,0,1,0,1,0,0,0,0,0,10,0,1,1,0,2,3,2,2,0,0,24,13,0,0,1,0
4/10/12,0,Nationals,Washington Nationals,National,5,Away,Mets,New York Mets,National,5,6,2,1,0,0,4,N,NYC20,26927,202,37,13,4,0,1,5,1,1,1,4,0,11,0,1,1,0,11,5,2,2,0,0,27,13,0,0,1,0
4/10/12,0,Diamondbacks,Arizona Diamondbacks,National,4,Away,Padres,San Diego Padres,National,5,4,2,1,0,0,2,N,SAN02,18652,208,39,7,1,0,1,4,0,0,1,3,1,11,3,1,0,0,6,6,2,2,1,0,33,12,1,1,1,0
4/11/12,0,Yankees,New York Yankees,American,6,Away,Orioles,Baltimore Orioles,American,6,6,4,1,0,0,2,N,BAL12,22919,222,39,10,2,0,2,6,0,0,1,3,1,8,2,0,0,0,7,4,4,4,0,0,30,10,0,0,0,0
4/11/12,0,White Sox,Chicago White Sox,American,5,Away,Indians,Cleveland Indians,American,5,10,6,1,0,0,4,D,CLE08,9072,184,37,11,2,0,2,9,1,1,0,3,1,6,0,0,1,0,5,4,6,6,3,0,27,11,1,0,0,0
4/11/12,0,Rays,Tampa Bay Rays,American,5,Away,Tigers,Detroit Tigers,American,5,4,2,1,0,0,2,D,DET05,28180,168,31,5,0,0,0,3,0,0,0,4,0,7,0,1,0,0,4,2,2,2,0,1,27,9,0,0,2,0
4/11/12,0,Angels,Los Angeles Angels,American,5,Away,Twins,Minnesota Twins,American,5,5,6,0,1,0,-1,N,MIN04,31413,167,34,8,3,0,1,5,0,0,0,0,0,5,1,0,0,0,2,4,6,6,0,0,24,6,0,0,1,0
4/11/12,0,Royals,Kansas City Royals,American,6,Away,Athletics,Oakland Athletics,American,7,4,5,0,1,0,-1,D,OAK01,12390,250,47,10,3,0,2,4,0,0,0,3,0,8,0,0,0,0,10,6,2,2,0,0,35,9,2,0,0,0
